epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.457,1.50873,3.62214,1.34051,0.00337,0.93617,0.30311,0.13722,1.26844,3.66675,1.13916,0.00042,0.00042,0.00042
2,273.83,1.50483,2.60074,1.31804,1,0.09245,0.283,0.13687,1.3736,3.68302,1.33024,0.00077486,0.00077486,0.00077486
3,403.772,1.5389,2.43277,1.31645,0.49898,0.09538,0.34463,0.14631,1.46284,3.42037,1.33631,0.0010426,0.0010426,0.0010426
4,532.385,1.49723,2.19836,1.3594,0.56849,0.43449,0.43238,0.20169,1.64658,3.14467,1.55055,0.00122322,0.00122322,0.00122322
5,662.682,1.52027,2.09835,1.36889,0.66239,0.64894,0.70525,0.34295,1.59239,2.22102,1.51743,0.001208,0.001208,0.001208
6,772.429,1.43946,1.87023,1.33241,0.78983,0.69149,0.7739,0.38983,1.52562,1.73163,1.52723,0.00101,0.00101,0.00101
7,885.485,1.47118,1.71881,1.37936,0.75129,0.73916,0.75205,0.41489,1.45512,1.64002,1.42988,0.000812,0.000812,0.000812
8,998.029,1.363,1.57704,1.25521,0.782,0.80851,0.83765,0.47007,1.45415,1.61786,1.36372,0.000614,0.000614,0.000614
9,1112.33,1.2872,1.45411,1.22018,0.79878,0.85106,0.84772,0.47412,1.46439,1.42326,1.34556,0.000416,0.000416,0.000416
10,1222.42,1.28847,1.35595,1.2134,0.82988,0.82979,0.88822,0.51634,1.42225,1.3517,1.29297,0.000218,0.000218,0.000218
